               1 a NET 1                    Vx
               2 a NET 1                    Vy
               3 a NET 2                    Vx
               4 a NET 2                    Vy
               5 a NET 3                    Vx
               6 a NET 3                    Vy
               7 a NET 4                    Vx
               8 a NET 4                    Vy
               9 a NET 5                    Vx
              10 a NET 5                    Vy
              11 a NET 6                    Vx
              12 a NET 6                    Vy
              13 a NET 7                    Vx
              14 a NET 7                    Vy
              15 a NET 8                    Vx
              16 a NET 8                    Vy
              17 a NET 9                    Vx
              18 a NET 9                    Vy
              19 a NET 10                   Vx
              20 a NET 10                   Vy
              21 a NET 11                   Vx
              22 a NET 11                   Vy
              23 a SYN G1                   iy
              24 a SYN G1                   ix
              25 a SYN G1                   psiad
              26 a SYN G1                   psiaq
              27 d SYN G1                   psif
              28 d SYN G1                   psid1
              29 d SYN G1                   psiq1
              30 d SYN G1                   psiq2
              31 d SYN G1                   delta
              32 d SYN G1                   omega
              33 a EXC G1                   vf
              34 d EXC G1                   x02
              35 a EXC G1                   x03
              36 a EXC G1                   x04
              37 a EXC G1                   x05
              38 a EXC G1                   x06
              39 d EXC G1                   x07
              40 d EXC G1                   x08
              41 d EXC G1                   x09
              42 d EXC G1                   x10
              43 d TOR G1                   x01
              44 a TOR G1                   x02
              45 a TOR G1                   x03
              46 a TOR G1                   x04
              47 d TOR G1                   x05
              48 d TOR G1                   x06
              49 d TOR G1                   x07
              50 d TOR G1                   x08
              51 a TOR G1                   x09
              52 a TOR G1                   tm
              53 a SYN G2                   iy
              54 a SYN G2                   ix
              55 a SYN G2                   psiad
              56 a SYN G2                   psiaq
              57 d SYN G2                   psif
              58 d SYN G2                   psid1
              59 d SYN G2                   psiq1
              60 d SYN G2                   psiq2
              61 d SYN G2                   delta
              62 d SYN G2                   omega
              63 a EXC G2                   vf
              64 d EXC G2                   x02
              65 a EXC G2                   x03
              66 a EXC G2                   x04
              67 a EXC G2                   x05
              68 a EXC G2                   x06
              69 d EXC G2                   x07
              70 d EXC G2                   x08
              71 d EXC G2                   x09
              72 d EXC G2                   x10
              73 d TOR G2                   x01
              74 a TOR G2                   x02
              75 a TOR G2                   x03
              76 a TOR G2                   x04
              77 d TOR G2                   x05
              78 d TOR G2                   x06
              79 d TOR G2                   x07
              80 d TOR G2                   x08
              81 a TOR G2                   x09
              82 a TOR G2                   tm
              83 a SYN G3                   iy
              84 a SYN G3                   ix
              85 a SYN G3                   psiad
              86 a SYN G3                   psiaq
              87 d SYN G3                   psif
              88 d SYN G3                   psid1
              89 d SYN G3                   psiq1
              90 d SYN G3                   psiq2
              91 d SYN G3                   delta
              92 d SYN G3                   omega
              93 a EXC G3                   vf
              94 d EXC G3                   x02
              95 a EXC G3                   x03
              96 a EXC G3                   x04
              97 a EXC G3                   x05
              98 a EXC G3                   x06
              99 d EXC G3                   x07
             100 d EXC G3                   x08
             101 d EXC G3                   x09
             102 d EXC G3                   x10
             103 d TOR G3                   x01
             104 a TOR G3                   x02
             105 a TOR G3                   x03
             106 a TOR G3                   x04
             107 d TOR G3                   x05
             108 d TOR G3                   x06
             109 d TOR G3                   x07
             110 d TOR G3                   x08
             111 a TOR G3                   x09
             112 a TOR G3                   tm
             113 a SYN G4                   iy
             114 a SYN G4                   ix
             115 a SYN G4                   psiad
             116 a SYN G4                   psiaq
             117 d SYN G4                   psif
             118 d SYN G4                   psid1
             119 d SYN G4                   psiq1
             120 d SYN G4                   psiq2
             121 d SYN G4                   delta
             122 d SYN G4                   omega
             123 a EXC G4                   vf
             124 d EXC G4                   x02
             125 a EXC G4                   x03
             126 a EXC G4                   x04
             127 a EXC G4                   x05
             128 a EXC G4                   x06
             129 d EXC G4                   x07
             130 d EXC G4                   x08
             131 d EXC G4                   x09
             132 d EXC G4                   x10
             133 d TOR G4                   x01
             134 a TOR G4                   x02
             135 a TOR G4                   x03
             136 a TOR G4                   x04
             137 d TOR G4                   x05
             138 d TOR G4                   x06
             139 d TOR G4                   x07
             140 d TOR G4                   x08
             141 a TOR G4                   x09
             142 a TOR G4                   tm
             143 a INJ L7                   iy
             144 a INJ L7                   ix
             145 a INJ L7                   x03
             146 d INJ L7                   x04
             147 a INJ L7                   x05
             148 a INJ L7                   x06
             149 a INJ L7                   x07
             150 a INJ L7                   x08
             151 a INJ L7                   x09
             152 d INJ L7                   x10
             153 d INJ L7                   x11
             154 a INJ L9                   iy
             155 a INJ L9                   ix
             156 a INJ L9                   x03
             157 d INJ L9                   x04
             158 a INJ L9                   x05
             159 a INJ L9                   x06
             160 a INJ L9                   x07
             161 a INJ L9                   x08
             162 a INJ L9                   x09
             163 d INJ L9                   x10
             164 d INJ L9                   x11
             165 a INJ VFAULT               iy
             166 a INJ VFAULT               ix
